SINONIMIA,MEDICAMENTO
CASTANEA SATIVA                                   ,CASTANEA VESCA
CASTANEA VULGARIS                                 ,CASTANEA VESCA
CASTANHA DA INDIA                                 ,AESCULUS HIPPOCASTANUM
CASTELA TEXANA                                    ,CHAPARRO AMARGOSO
CASTIGLIONIA LOBATA                               ,JATROPHA CURCAS
CASTOR CANADENSIS                                 ,CASTOREUM
CASTOR EQUORUM                                    ,CASTOR EQUI
CASTOR FIBER                                      ,CASTOREUM
CASTOREUM CANADENSIS                              ,CASTOREUM
CASTOREUM SIBIRICUM                               ,CASTOREUM
CAT S CLAW (UNCARIA TOMENTOSA)                    ,UNCARIA TOMENTOSA
CAT'S MILK                                        ,LAC FELINUM
CATARATA                                          ,CATARACTINUM
CATARATA NOSODIO                                  ,CATARACTINUM
CATECHU                                           ,ARECA CATECHU
CATHARANTHUS ROSEUS                               ,VINCA ROSEA
CAULES DULCAMARA                                  ,DULCAMARA
CAULOPHYLLUM                                      ,CAULOPHYLLUM THALICTROIDES
CAULOPHYLLUMICTROIDES                             ,CAULOPHYLLUM THALICTROIDES
CAUSTICUM HAH                                     ,CAUSTICUM
CAUSTICUM HAHNEMANNIANI                           ,CAUSTICUM
CAVALINHA                                         ,EQUISETUM ARVENSIS
CEANOTHUS AM                                      ,CEANOTHUS AMERICANUS
CEANOTHUS HERBACEOUS                              ,CEANOTHUS AMERICANUS
CEANOTHUS INT                                     ,CEANOTHUS AMERICANUS
CEANOTHUS INTERMEDIUS                             ,CEANOTHUS AMERICANUS
CEANOTHUS OFFICINALIS                             ,CEANOTHUS AMERICANUS
CEANOTHUS PERENNIS                                ,CEANOTHUS AMERICANUS
CEANOTHUS TARDIFLORUS                             ,CEANOTHUS AMERICANUS
CEANOTHUS TRINERVUS                               ,CEANOTHUS AMERICANUS
CEBADILLA                                         ,SABADILLA OFFICINALIS
CEBOLAS POOL                                      ,CEBOLAS
CECROPIA PAL                                      ,CECROPIA PALMATA
CEDRUS LYCEA                                      ,THUYA OCCIDENTALIS
CEFALOIXINA MONOHIDRATADA ISOTERAPICO             ,CEFALEXINA
CELULAS BRANCAS                                   ,LEUCOCITOS
CELULAS VERMELHAS                                 ,HEMACIA
CENCHRIS                                          ,CENCHRIS CONTORTRIX
CENCHRIS CONT                                     ,CENCHRIS CONTORTRIX
CENOURA                                           ,DAUCUS CAROTA
CENOURA/BROCOLIS/BETERRABA/ESPINAFRE/...          ,GREENGENICS (NOME COMERCIAL)
CENTEIO (GRAO)                                    ,CENTEIO
CENTELLA AS                                       ,HYDROCOTYLE ASIATICA
CENTELLA ASIATICA                                 ,HYDROCOTYLE ASIATICA
CENTROLOBIUM ROBUSTUM                             ,CHRYSAROBINUM
CENTROLOBIUM TOMENTOSUM                           ,CHRYSAROBINUM
CEPA                                              ,ALLIUM CEPA
CEPA VULGARIS                                     ,ALLIUM CEPA
CEPHAELIS EMETICA                                 ,IPECACUANHA
CEPHAELIS IPECACUANHA                             ,IPECACUANHA
CEPHALANDRA IND                                   ,CEPHALANDRA INDICA
CERASUS FOLIO-LAURINO                             ,LAUROCERASUS
CERASUS LAUROCERASUS                              ,LAUROCERASUS
CERASUS TRAPEZUNTINA                              ,LAUROCERASUS
CEREBELLUM                                        ,CEREBELO (CARNEIRO)
CEREBELO                                          ,CEREBELO (CARNEIRO)
CEREBRINUM                                        ,CEREBRO TOTAL
CEREBRO                                           ,CEREBRO TOTAL
CEREBRO (CARNEIRO)                                ,CEREBRO TOTAL
CEREBRO SUBSTANCIA BRANCA                         ,SUBSTANCIA BRANCA CEREBRO (CARNEIRO)
CEREBRO SUBSTANCIA CINZENTA                       ,SUBSTANCIA CINZENTA CEREBRO (CARNEIRO)
CEREJEIRA                                         ,PRUNUS VIRGINIANA
CEREUS                                            ,CACTUS GRANDIFLORUS
CEREUS GRANDIFLORUS                               ,CACTUS GRANDIFLORUS
CEREUS SERP                                       ,CEREUS SERPENTINUS
CEREUS SERPENTARIA                                ,CEREUS SERPENTINUS
CERII OXALAS                                      ,CERIUM OXALICUM
CERIUM                                            ,CERIUM METALLICUM
CERIUM MET                                        ,CERIUM METALLICUM
CERIUM PHOSPH                                     ,CERIUM PHOSPHORICUM
CERUSSA                                           ,PLUMBUM CARBONICUM
CERUSSA NIGRA                                     ,GRAPHITES
CERVEJA                                           ,CERVEJA ANTARTICA
CESIUM METALLICUM                                 ,CAESIUM METALLICUM
CEVADA                                            ,HORDEUM SATIVUM
CHA DE JAVA (H)                                   ,ORTHOSIPHON STAMINEUS
CHA VERDE (H)                                     ,THEA SINENSIS
CHAMAEDAPHNE                                      ,MEZEREUM
CHAMAELEA GERMANICA                               ,MEZEREUM
CHAMAELIRIUM CARDINIANUM                          ,HELONIAS DIOICA
CHAMAELIRIUM CAROLINIANUM                         ,HELONIAS DIOICA
CHAMAELIRIUM LUTEUM                               ,HELONIAS DIOICA
CHAMAEMELUM VULGARE                               ,CHAMOMILLA
CHAMAEROPS SERRULATA                              ,SABAL SERRULATA
CHAMOMILLA MATRICARIA                             ,CHAMOMILLA
CHAMOMILLA NOBILIS                                ,ANTHEMIS NOBILIS
CHAMOMILLA NOSTRAS                                ,CHAMOMILLA
CHAMOMILLA OFFICINALIS                            ,CHAMOMILLA
CHAMOMILLA RECUTITA                               ,CHAMOMILLA
CHAMOMILLA ROMANA                                 ,ANTHEMIS NOBILIS
CHAMOMILLA VULGARIS                               ,CHAMOMILLA
CHAPEU DE COURO                                   ,ECHINODORUS MACROPHYLLUS
CHASTEBERRY                                       ,AGNUS CASTUS
CHEETAH                                           ,ACINONYX JUBATUS
CHEIRANTHUS                                       ,CHEIRANTHUS CHEIRI
CHELIDONIUM                                       ,CHELIDONIUM MAJUS
CHELIDONIUM HAEMATODES                            ,CHELIDONIUM MAJUS
CHELIDONIUM MAJ                                   ,CHELIDONIUM MAJUS
CHELONE ALBA                                      ,CHELONE GLABRA
CHELONE OBLIQUA                                   ,CHELONE GLABRA
CHENOPODII GLAUCI APHIS                           ,CHENOPODII GLAUCI APIS
CHENOPODIUM                                       ,CHENOPODIUM ANTHELMINTICUM
CHENOPODIUM AMBR                                  ,CHENOPODIUM ANTHELMINTICUM
CHENOPODIUM AMBROSIOIDES                          ,CHENOPODIUM ANTHELMINTICUM
CHENOPODIUM ANTH                                  ,CHENOPODIUM ANTHELMINTICUM
CHENOPODIUM BRASILIENSIS                          ,CHENOPODIUM ANTHELMINTICUM
CHENOPODIUM SUFFRUTICOSUM                         ,CHENOPODIUM ANTHELMINTICUM
CHICARO                                           ,LATHYRUS SATIVUS
CHICORIA                                          ,CICHORIUM INTYBUS
CHIMAPHILA CORYMBOSA                              ,CHIMAPHILA UMBELLATA
CHIMAPHILA CYMOSA                                 ,CHIMAPHILA UMBELLATA
CHIMAPHILLA                                       ,CHIMAPHILA UMBELLATA
CHIMAPHILLA UMB                                   ,CHIMAPHILA UMBELLATA
CHINA                                             ,CHINA OFFICINALIS
CHINA AMARA AROMATICA                             ,ANGUSTURA VERA
CHINA CALISAYA                                    ,CHINA OFFICINALIS
CHINA LOXA                                        ,CHINA OFFICINALIS
CHINA OFF                                         ,CHINA OFFICINALIS
CHINA REGIA                                       ,CHINA OFFICINALIS
CHINA RUBRA                                       ,CHINA SUCCIRUBRA
CHININI MONOSULPHAS                               ,CHININUM SULPHURICUM
CHININUM                                          ,CHININUM SULPHURICUM
CHININUM PHOSPH                                   ,CHININUM PHOSPHORICUM
CHININUM SAL                                      ,CHININUM SALICYLICUM
CHININUM SULF                                     ,CHININUM SULPHURICUM
CHININUM SULFURICUM                               ,CHININUM SULPHURICUM
CHININUM SULPH                                    ,CHININUM SULPHURICUM
CHININUM VAL                                      ,CHININUM VALERIANICUM
CHIOCOCCA BRACHIATA                               ,CHIOCOCCA RACEMOSA
CHIONANTHUS ANGUSTIFOLIA                          ,CHIONANTHUS VIRGINICA
CHIONANTHUS FRAGRANS                              ,CHIONANTHUS VIRGINICA
CHIONANTHUS VIRG                                  ,CHIONANTHUS VIRGINICA
CHLAMYDIA TRAC                                    ,CHLAMYDIA
CHLAMYDIA TRACOMATIS                              ,CHLAMYDIA
CHLORALHYDRAT                                     ,CHLORALUM
CHLORALI HYDRAS                                   ,CHLORALUM
CHLORALUM HYDRATUM                                ,CHLORALUM
CHLORALUM HYDRATUM CRYSTALLISATUM                 ,CHLORALUM
CHLORANPHENICOLUM                                 ,CHLORANPHENICOLUM
CHLORAS KALICUS                                   ,KALI CHLORICUM
CHLORAS MAGNESICUS                                ,MAGNESIA MURIATICA
CHLORAS MANGANOSUS                                ,MANGANUM MURIATICUM
CHLORAS POTASSICUS                                ,KALI CHLORICUM
CHLORAS ZINCI                                     ,ZINCUM MURIATICUM
CHLORETUM HYDRARGYRICUM                           ,MERCURIUS SUBLIMATUS CORROSIVUS
CHLORETUM HYDRARGYROSUM                           ,MERCURIUS DULCIS
CHLORIDUM CALCICUM                                ,CALCAREA MURIATICA
CHLORIDUM VEL CHLORURETUM FERRICUM                ,FERRUM MURIATICUM
CHLORINUM                                         ,CHLORUM
CHLORIS CALCICUS                                  ,CALCAREA MURIATICA
CHLOROQUINE PHOSPHATE                             ,CHLOROQUINUM
CHLORPROMAZINUM (H)                               ,CLORPROMAZINA
CHLORURETUM AMMONICUM                             ,AMMONIUM MURIATICUM
CHLORURETUM CALCIS                                ,CALCAREA MURIATICA
CHLORURETUM HYDRARGYROSUM                         ,MERCURIUS DULCIS
CHLORURETUM POTASSICUM                            ,KALI MURIATICUM
CHLORURETUM SODICUM                               ,NATRUM MURIATICUM
CHLORURETUM ZINCICUM                              ,ZINCUM MURIATICUM
CHOLECALCIFEROLUM                                 ,VITAMINA D3
CHOLELITHINUM                                     ,CALCULI BILIARE
CHOLESTEROLEUM                                    ,CHOLESTERINUM
CHOLESTEROLUM                                     ,CHOLESTERINUM
CHONDODENDRON PLATYPHYLLUM                        ,PARREIRA BRAVA
CHONDODENDRON TOMENTOSUM                          ,PARREIRA BRAVA
CHROMIUM                                          ,CHROMIUM METALLICUM
CHROMIUM KALI SULPHURATUM                         ,KALI CHROMOSULPHURICUM
CHROMIUM MET                                      ,CHROMIUM METALLICUM
CHROMIUM SULF                                     ,CHROMIUM SULPHURICUM
CHROMIUM SULFURICUM                               ,CHROMIUM SULPHURICUM
CHROMIUM SULPH                                    ,CHROMIUM SULPHURICUM
CHRYSABOLANUS ICACA                               ,ABAJERU
CHRYSANTHEMUM CHAMOMILLA                          ,CHAMOMILLA
CHRYSANTHEMUM LATIFOLIUM                          ,ARNICA MONTANA
CHRYSANTHEMUN VULGARE                             ,TANACETUM VULGARIS
CHRYSOMELA SEPTEMPUNCTATA                         ,COCCINELLA SEPTEMPUNCTATA
CHUCHU (SECHIUM EDULE)                            ,SECHIUM EDULE
CHUMBO METALICO                                   ,PLUMBUM METALLICUM
CIANOCOBALAMINA (H)                               ,VITAMINA B12
CICLAMATO + SACARINA (H)                          ,CICLAMATO DE SODIO+ SACARINA SODICA
CICLOSPORINA (H)                                  ,CYCLOSPORINUM
CICUTA                                            ,CICUTA VIROSA
CICUTA AQUATICA                                   ,CICUTA VIROSA
CICUTA MACULATA                                   ,CONIUM MACULATUM
CICUTA MINOR                                      ,AETHUSA CYNAPIUM
CICUTA VENENOSA                                   ,CICUTA VIROSA
CICUTA VULGARIS                                   ,CONIUM MACULATUM
CICUTA VULGARIS MAJOR                             ,CONIUM MACULATUM
CICUTARIA APIIFOLIA                               ,AETHUSA CYNAPIUM
CICUTARIA AQUATICA                                ,CICUTA VIROSA
